episode,steps,epsilon,reward,score,length,loss_avg
1,96,0.998824375,-13.81,0,3,0.0
2,164,0.997982875,-12.428,0,3,0.0
3,243,0.99700525,-13.431000000000001,0,3,0.0
4,385,0.995248,-19.111,0,3,0.0
5,587,0.99274825,-28.900999999999996,0,3,0.0
6,664,0.991795375,-12.026,0,3,0.0
7,718,0.991127125,-10.931,0,3,0.0
8,758,0.990632125,-10.33,0,3,0.0
9,804,0.990062875,-11.035,0,3,0.0
10,873,0.989209,0.04400000000000226,1,4,0.0
11,993,0.987724,-16.19,0,3,0.0
12,1016,0.987439375,-10.003,0,3,0.0
13,1031,0.98725375,-10.505,0,3,0.0
14,1082,0.986622625,-10.625,0,3,0.0
15,1164,0.985607875,-12.371,0,3,0.0
16,1286,0.984098125,-15.780999999999999,0,3,0.0
17,1338,0.983454625,-9.826,0,3,0.0
18,1366,0.983108125,-10.378,0,3,0.0
19,1413,0.9825265,-10.231,0,3,0.0
20,1516,0.981251875,-14.253,0,3,0.0
21,1539,0.98096725,-9.253,0,3,0.0
22,1760,0.978232375,-33.56,0,3,0.0
23,1776,0.978034375,0.5899999999999999,1,4,0.0
24,1810,0.977613625,-10.561,0,3,0.0
25,1855,0.97705675,-10.84,0,3,0.0
26,1915,0.97631425,-10.370000000000001,0,3,0.0
27,2028,0.974915875,-15.628,0,3,0.11790885041660533
28,2050,0.974643625,-10.231,0,3,0.12612701067700982
29,2119,0.97378975,-11.296,0,3,0.14576777243190378
30,2188,0.972935875,-11.546,0,3,0.1230531324180302
31,2233,0.972379,-10.89,0,3,0.15286395124470195
32,2260,0.972044875,1.0210000000000008,1,4,0.15385007067514514
33,2325,0.9712405,-12.83,0,3,0.16597383904915589
34,2404,0.970262875,-1.593,1,4,0.14614570293799514
35,2494,0.969149125,-12.955,0,3,0.1469418295012373
36,2514,0.968901625,-10.84,0,3,0.14996846176218243
37,2549,0.9684685,-9.145,0,3,0.17279480558687021
38,2570,0.968208625,-10.61,0,3,0.12605238483021303
39,2688,0.966748375,-15.753,0,3,0.15675506832954175
40,2767,0.96577075,-12.081000000000001,0,3,0.14274658803545126
41,2911,0.96398875,-20.046,0,3,0.13881417912974334
42,3027,0.96255325,-15.27,0,3,0.10863600867190237
43,3130,0.961278625,-13.703,0,3,0.11696934728042303
44,3199,0.96042475,-11.846,0,3,0.11154833186309838
45,3363,0.95839525,-23.866,0,3,0.09288165237039055
46,3404,0.9578878749999999,-10.719999999999999,0,3,0.08533827627713723
47,3462,0.957170125,-9.953,0,3,0.08750114344253108
48,3521,0.95644,-10.511,0,3,0.0952348066020315
49,3593,0.955549,-0.5640000000000001,1,4,0.08451627951581031
50,3679,0.95448475,-12.905000000000001,0,3,0.0902546409106012
51,3746,0.953655625,-11.861,0,3,0.07479744786118615
52,3786,0.953160625,-0.39099999999999824,1,4,0.0931193801574409
53,3892,0.951848875,0.24499999999999744,1,4,0.08582556285491248
54,3935,0.95131675,10.977,2,5,0.11878405920728001
55,4026,0.950190625,-14.195,0,3,0.08740857513723793
56,4063,0.94973275,-10.516,0,3,0.08233279322047492
57,4161,0.94852,-12.853000000000002,0,3,0.08711828100400007
58,4259,0.94730725,-13.753,0,3,0.0903597774877384
59,4316,0.946601875,-11.396,0,3,0.07991914134145829
60,4335,0.94636675,-10.171,0,3,0.08592571960271973
61,4355,0.94611925,-10.39,0,3,0.06340854573063552
62,4427,0.94522825,-12.106,0,3,0.07300799581894858
63,4470,0.944696125,-9.103,0,3,0.07210966615482818
64,4510,0.944201125,-10.03,0,3,0.0717819610144943
65,4694,0.941924125,-25.836,0,3,0.07455910353303846
66,4712,0.941701375,-9.653,0,3,0.08398562245484856
67,4730,0.941478625,-10.553,0,3,0.11526619146267574
68,4788,0.940760875,-11.453,0,3,0.07086319309370272
69,4963,0.93859525,-24.125,0,3,0.0695591023484511
70,4982,0.938360125,-10.021,0,3,0.05833766423165798
71,5145,0.936343,-21.553000000000004,0,3,0.08039446772173321
72,5327,0.93409075,-13.765000000000002,1,4,0.07929150160442996
73,5385,0.933373,-11.353,0,3,0.07178258112278478
74,5472,0.932296375,-15.991,0,3,0.06551672493632155
75,5632,0.930316375,-21.270000000000003,0,3,0.07668098948779516
76,5666,0.929895625,-10.111,0,3,0.07240787975709229
77,5708,0.929375875,-11.061,0,3,0.05829891398371685
78,5849,0.927631,-19.519999999999996,0,3,0.05444873030568268
79,6010,0.925638625,-22.229999999999997,0,3,0.06683898403060547
80,6091,0.92463625,-12.24,0,3,0.06864123329244277
81,6115,0.92433925,-10.376,0,3,0.07773840582619111
82,6160,0.923782375,-10.79,0,3,0.0795380074944761
83,6209,0.923176,-11.126,0,3,0.09875340487960042
84,6293,0.9221365,-11.936,0,3,0.0765872428171514
85,6312,0.921901375,-10.321,0,3,0.08906014013643328
86,6396,0.920861875,-14.036,0,3,0.08569260797507706
87,6454,0.920144125,-9.853,0,3,0.07370297764909678
88,6633,0.917929,-25.331000000000003,0,3,0.07093007323025159
89,6704,0.917050375,-12.035,0,3,0.08023969581167043
90,6797,0.9158995,-13.028,0,3,0.06464340357530501
91,6869,0.9150085,-12.606000000000002,0,3,0.07724307878460321
92,6936,0.914179375,-12.411000000000001,0,3,0.07802939338526174
93,7122,0.911877625,-26.705000000000005,0,3,0.07355677564778636
94,7228,0.910565875,-0.18700000000000117,1,4,0.07653384010817083
95,7334,0.909254125,-4.042000000000001,1,4,0.08100174058158442
96,7392,0.908536375,-10.503,0,3,0.0835113048007519
97,7475,0.90750925,-13.203000000000001,0,3,0.0648218976580594
98,7527,0.90686575,-10.975999999999999,0,3,0.08267465212310736
99,7596,0.906011875,-12.296,0,3,0.05876422584380792
100,7678,0.904997125,-12.421,0,3,0.07907594717675592
101,7846,0.902918125,-23.427999999999997,0,3,0.0639797548120398
102,7894,0.902324125,0.4369999999999994,1,4,0.07488563583077242
103,8105,0.899713,-6.430999999999999,1,4,0.08185502967987016
104,8188,0.898685875,-14.003,0,3,0.0882759587053793
105,8213,0.8983765,-10.6,0,3,0.09104053355753422
106,8290,0.8974236250000001,-11.725999999999999,0,3,0.0942319974351626
107,8351,0.89666875,-10.98,0,3,0.07263961718341366
108,8419,0.89582725,-12.828,0,3,0.06497502443380654
109,8435,0.89562925,0.29300000000000104,1,4,0.08498847123701125
110,8526,0.894503125,-14.345,0,3,0.07476273643692116
111,8653,0.8929315,-17.951,0,3,0.06634783395749377
112,8922,0.889602625,-18.018000000000008,1,4,0.06391581443578116
113,9094,0.887474125,-24.156,0,3,0.06728668650070768
114,9121,0.88714,-10.001,0,3,0.06357791405861024
115,9191,0.88627375,-11.315,0,3,0.06912587657570839
116,9247,0.88558075,-10.84,0,3,0.07616550006371524
117,9279,0.88518475,-10.696,0,3,0.06253144569927827
118,9425,0.883378,-19.585,0,3,0.055361497317989394
119,9460,0.882944875,-9.145,0,3,0.0800252700490611
120,9510,0.882326125,-10.775,0,3,0.0901403940282762
121,9608,0.881113375,1.198999999999998,1,4,0.06220525605794119
122,9719,0.87973975,-16.255000000000003,0,3,0.06346819257816753
123,9851,0.87810625,-17.096,0,3,0.06315225141235825
124,9878,0.877772125,-10.901,0,3,0.08410084613219455
125,9926,0.877178125,-11.278,0,3,0.07941232823456328
126,9989,0.8763985,-10.103,0,3,0.06535080990325363
127,10127,0.8746907500000001,-4.098000000000001,1,4,0.0811796552852552
128,10198,0.8738121249999999,-10.985,0,3,0.0765569770157757
129,10357,0.8718445,-22.561000000000007,0,3,0.07953550331528832
130,10393,0.871399,-10.879999999999999,0,3,0.08444450174768765
131,10415,0.87112675,-9.631,0,3,0.08792097494006157
132,10559,0.86934475,-19.846000000000004,0,3,0.07028938825371572
133,10693,0.8676865,-1.8580000000000023,1,4,0.07689281655892508
134,10740,0.867104875,-11.431000000000001,0,3,0.08053508519809296
135,10818,0.866139625,-12.203,0,3,0.07025931284834559
136,10856,0.865669375,-9.552999999999999,0,3,0.09419937255351167
137,10919,0.86488975,0.23900000000000077,1,4,0.07760589155885908
138,11022,0.8636151249999999,-15.503,0,3,0.07546303923992277
